category,nights (domestic),nights (inter),total
Hotel/Resort/Motel/Motor inn,114419.00,"41,799","156,217"
Guest house or bed & breakfast,2078.00,287,"2,366"
Rented accommodation,36285.00,"104,025","140,310"
Caravan park or commercial camping ground,35812.00,"2,434","38,246"
Backpacker or hostel,817.00,"11,797","12,614"
Other commercial accommodation,3050.00,"5,684","8,733"
Own property,17513.00,"2,624","20,137"
Friends or relatives property,134770.00,"89,255","224,025"
Caravan or camping - non commercial,22072.00,"1,200","23,273"
Other private accommodation,7907.00,"9,246","17,154"
Other accommodation,22560.00,"9,817","32,377"
